"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-11-13","82.52","81.43","82.84","80.41","243.30K","1.34%"
"2023-11-10","81.43","79.85","82.06","79.79","249.55K","1.77%"
"2023-11-9","80.01","79.70","81.48","79.44","306.11K","0.59%"
"2023-11-8","79.54","81.40","81.96","79.20","420.70K","-2.54%"
"2023-11-7","81.61","85.15","85.19","81.40","402.76K","-4.19%"
"2023-11-6","85.18","85.55","86.46","84.88","239.23K","0.34%"
"2023-11-3","84.89","86.92","87.80","84.56","354.85K","-2.26%"
"2023-11-2","86.85","85.00","87.05","84.64","301.87K","2.62%"
"2023-11-1","84.63","85.45","87.24","84.58","321.66K","-3.18%"
"2023-10-31","87.41","87.90","88.61","87.40","13.68K","-0.05%"
"2023-10-30","87.45","90.07","90.15","87.20","99.04K","-3.35%"
"2023-10-27","90.48","88.40","90.75","87.83","109.14K","2.90%"
"2023-10-26","87.93","89.92","90.40","87.53","198.64K","-2.44%"
"2023-10-25","90.13","88.04","90.35","86.68","290.91K","2.34%"
"2023-10-24","88.07","90.47","90.68","87.35","304.12K","-1.96%"
"2023-10-23","89.83","92.11","92.45","89.62","282.44K","-2.53%"
"2023-10-20","92.16","93.23","93.79","91.66","272.72K","-0.24%"
"2023-10-19","92.38","91.35","93.48","89.57","309.00K","0.96%"
"2023-10-18","91.50","91.25","93.00","90.60","348.19K","1.78%"
"2023-10-17","89.90","89.91","91.00","88.88","252.83K","0.28%"
"2023-10-16","89.65","90.98","91.39","89.50","283.25K","-1.36%"
"2023-10-13","90.89","86.35","91.00","86.28","424.71K","5.69%"
"2023-10-12","86.00","85.53","87.64","85.18","370.44K","0.21%"
"2023-10-11","85.82","87.72","88.26","85.21","402.31K","-2.09%"
"2023-10-10","87.65","88.17","88.49","86.91","352.11K","-0.57%"
"2023-10-9","88.15","86.45","89.00","86.00","412.76K","4.22%"
"2023-10-6","84.58","84.49","84.95","83.44","424.46K","0.61%"
"2023-10-5","84.07","85.88","86.52","83.84","510.68K","-2.03%"
"2023-10-4","85.81","91.04","91.21","85.75","525.56K","-5.62%"
"2023-10-3","90.92","90.40","91.56","89.50","437.64K","0.23%"
"2023-10-2","90.71","92.18","93.33","90.35","423.48K","-4.83%"
"2023-9-29","95.31","95.07","96.26","94.90","12.84K","-0.07%"
"2023-9-28","95.38","96.74","97.69","94.76","91.45K","-1.21%"
"2023-9-27","96.55","94.12","97.06","94.10","146.72K","2.76%"
"2023-9-26","93.96","93.28","94.21","91.80","169.45K","0.72%"
"2023-9-25","93.29","93.75","94.25","92.54","177.62K","0.02%"
"2023-9-22","93.27","93.37","94.64","92.80","240.04K","-0.03%"
"2023-9-21","93.30","93.08","94.60","92.20","314.69K","-0.25%"
"2023-9-20","93.53","94.49","94.72","92.76","330.59K","-0.86%"
"2023-9-19","94.34","94.66","95.96","94.16","403.40K","-0.10%"
"2023-9-18","94.43","94.28","94.95","93.79","337.78K","0.53%"
"2023-9-15","93.93","94.02","94.63","92.67","316.90K","0.25%"
"2023-9-14","93.70","92.04","94.21","92.02","310.00K","1.98%"
"2023-9-13","91.88","92.04","92.84","91.63","302.75K","-0.20%"
"2023-9-12","92.06","90.62","92.40","90.52","336.57K","1.57%"
"2023-9-11","90.64","90.83","91.45","90.11","303.42K","-0.01%"
"2023-9-8","90.65","89.79","91.02","89.30","298.14K","0.81%"
"2023-9-7","89.92","90.81","90.89","89.46","213.02K","-0.75%"
"2023-9-6","90.60","90.12","91.10","89.25","282.91K","0.62%"
"2023-9-5","90.04","88.91","91.15","88.06","428.45K","1.17%"
"2023-9-4","89.00","88.95","89.22","88.26","140.67K","0.51%"
"2023-9-1","88.55","86.82","88.99","86.74","380.76K","1.95%"
"2023-8-31","86.86","86.00","86.94","85.74","11.27K","1.16%"
"2023-8-30","85.86","85.62","86.23","85.11","86.74K","0.43%"
"2023-8-29","85.49","84.39","85.65","83.80","115.36K","1.27%"
"2023-8-28","84.42","84.87","85.23","84.11","88.35K","-0.07%"
"2023-8-25","84.48","83.26","84.97","82.67","230.35K","1.34%"
"2023-8-24","83.36","82.95","83.62","81.97","253.84K","0.18%"
"2023-8-23","83.21","83.99","84.26","81.94","361.61K","-0.98%"
"2023-8-22","84.03","84.46","84.66","83.85","287.35K","-0.51%"
"2023-8-21","84.46","84.80","85.86","84.31","289.24K","-0.40%"
"2023-8-18","84.80","83.88","85.08","83.33","287.97K","0.81%"
"2023-8-17","84.12","83.20","84.88","83.05","305.58K","0.80%"
"2023-8-16","83.45","85.20","85.36","83.13","334.45K","-1.70%"
"2023-8-15","84.89","86.12","86.68","84.29","305.41K","-1.53%"
"2023-8-14","86.21","86.53","86.71","85.50","267.09K","-0.69%"
"2023-8-11","86.81","86.37","87.35","85.84","318.06K","0.47%"
"2023-8-10","86.40","87.39","88.10","86.20","337.57K","-1.31%"
"2023-8-9","87.55","86.00","87.65","85.91","388.30K","1.60%"
"2023-8-8","86.17","85.79","86.34","83.32","375.87K","0.97%"
"2023-8-7","85.34","86.23","86.73","85.03","259.62K","-1.04%"
"2023-8-4","86.24","85.31","86.65","85.06","268.75K","1.29%"
"2023-8-3","85.14","83.46","85.41","82.36","392.61K","2.33%"
"2023-8-2","83.20","85.86","85.99","82.74","399.19K","-2.01%"
"2023-8-1","84.91","85.24","85.91","84.21","297.77K","-0.76%"
"2023-7-31","85.56","84.95","85.80","84.40","16.53K","0.67%"
"2023-7-28","84.99","83.71","85.09","83.22","102.84K","0.89%"
