日期,收盘,开盘,高,低,涨跌幅,交易量
2023/12/4,2.651,2.685,2.704,2.608,-4.40%,53.83
2023/12/5,2.667,2.655,2.738,2.632,0.60%,42.49
2023/12/6,2.517,2.658,2.707,2.492,-5.62%,82.95
2023/12/7,2.52,2.522,2.555,2.436,0.12%,125.25
2023/12/8,2.504,2.487,2.534,2.459,-0.63%,88.3
2023/12/11,2.35,2.408,2.417,2.217,-6.15%,144.3
2023/12/12,2.311,2.438,2.461,2.276,-1.66%,223.46
2023/12/13,2.335,2.278,2.385,2.235,1.04%,255.19
2023/12/14,2.392,2.353,2.422,2.328,2.44%,159.49
2023/12/15,2.491,2.408,2.544,2.38,4.14%,189.24
2023/12/18,2.503,2.503,2.597,2.488,0.48%,154.3
2023/12/19,2.492,2.519,2.565,2.385,-0.44%,170.44
2023/12/20,2.447,2.557,2.59,2.41,-1.81%,125.26
2023/12/21,2.572,2.427,2.604,2.408,5.11%,84.55
2023/12/22,2.61,2.584,2.62,2.528,1.48%,42.84
2023/12/25,2.418,2.425,2.442,2.415,-7.36%,0
2023/12/26,2.55,2.545,2.581,2.454,5.46%,50.76
2023/12/27,2.619,2.58,2.722,2.562,2.71%,3.93
2023/12/28,2.557,2.455,2.576,2.412,-2.37%,116.06
2023/12/29,2.514,2.539,2.561,2.489,-1.68%,89.6
2024/1/1,2.667,2.614,2.67,2.614,6.09%,0
2024/1/2,2.568,2.605,2.675,2.524,-3.71%,132.45
2024/1/3,2.668,2.575,2.719,2.537,3.89%,166.47
2024/1/4,2.821,2.688,2.863,2.681,5.73%,206.31
2024/1/5,2.893,2.845,2.906,2.681,2.55%,187.5
2024/1/8,2.98,2.95,3.012,2.694,3.01%,237.67
2024/1/9,3.19,2.943,3.392,2.884,7.05%,351.78
2024/1/10,3.039,3.167,3.226,2.956,-4.73%,258.01
2024/1/11,3.097,3.029,3.231,2.945,1.91%,235.03
2024/1/12,3.313,3.118,3.377,3.102,6.97%,265.88
2024/1/14,3.111,3.104,3.137,3.077,-6.10%,0
2024/1/15,3.066,3.112,3.188,3.055,-1.45%,0
2024/1/16,2.9,3.113,3.189,2.822,-5.41%,228.16
2024/1/17,2.87,2.843,2.958,2.756,-1.03%,150.33
2024/1/18,2.697,2.876,2.96,2.666,-6.03%,151.82
2024/1/19,2.519,2.712,2.714,2.514,-6.60%,138.43
2024/1/22,2.419,2.38,2.47,2.311,-3.97%,121.58
2024/1/23,2.45,2.437,2.494,2.325,1.28%,69.16
2024/1/24,2.641,2.498,2.696,2.495,7.80%,65.5
2024/1/25,2.571,2.683,2.884,2.526,-2.65%,44.98
2024/1/26,2.712,2.607,2.804,2.424,5.48%,73.02
2024/1/29,2.49,2.68,2.76,2.411,-8.19%,3.59
2024/1/30,2.077,2.06,2.119,2.046,-16.59%,139.75
2024/1/31,2.1,2.09,2.158,2.037,1.11%,142.86
2024/2/1,2.05,2.134,2.168,2.033,-2.38%,161.34
2024/2/2,2.079,2.054,2.1,2.021,1.41%,125.06
2024/2/5,2.082,2.11,2.127,2.041,0.14%,136.03
2024/2/6,2.009,2.068,2.102,1.997,-3.51%,137.68
2024/2/7,1.967,2.003,2.04,1.956,-2.09%,204.06
2024/2/8,1.917,1.97,1.993,1.867,-2.54%,237.17
2024/2/9,1.847,1.885,1.885,1.817,-3.65%,247.31
2024/2/12,1.768,1.805,1.863,1.732,-4.28%,242.15
2024/2/13,1.689,1.754,1.786,1.654,-4.47%,286.59
2024/2/14,1.609,1.669,1.685,1.59,-4.74%,208.96
2024/2/15,1.647,1.672,1.718,1.633,2.36%,142.08
2024/2/16,1.68,1.654,1.704,1.638,2.00%,146.71
2024/2/18,1.551,1.527,1.565,1.527,-7.68%,0
2024/2/19,1.558,1.552,1.583,1.54,0.45%,0
2024/2/20,1.646,1.62,1.783,1.6,5.65%,178.44
2024/2/21,1.863,1.792,1.877,1.749,13.18%,233.77
2024/2/22,1.832,1.863,1.868,1.752,-1.66%,183.31
2024/2/23,1.603,1.722,1.722,1.581,-12.50%,47.59
2024/2/26,1.659,1.66,1.73,1.594,3.49%,110.51
2024/2/27,1.615,1.625,1.72,1.511,-2.65%,3.77
2024/2/28,1.885,1.817,1.906,1.782,16.72%,149.43
2024/2/29,1.86,1.868,1.918,1.829,-1.33%,141.54
2024/3/1,1.835,1.852,1.888,1.81,-1.34%,105.5
2024/3/4,1.916,1.873,1.989,1.87,4.41%,185.41
2024/3/5,1.957,1.928,2.009,1.89,2.14%,142.11
2024/3/6,1.929,1.95,1.983,1.921,-1.43%,107.22
2024/3/7,1.818,1.929,1.955,1.782,-5.75%,173.66
2024/3/8,1.805,1.796,1.837,1.755,-0.72%,143.79
2024/3/11,1.759,1.805,1.841,1.746,-2.55%,159.95
2024/3/12,1.714,1.758,1.823,1.691,-2.56%,199.59
2024/3/13,1.658,1.713,1.717,1.651,-3.27%,176.63
2024/3/14,1.741,1.668,1.767,1.643,5.01%,16814
2024/3/15,1.655,1.757,1.774,1.646,-4.94%,15473
2024/3/18,1.703,1.689,1.762,1.684,2.90%,13735
2024/3/19,1.744,1.717,1.769,1.701,2.41%,12806
2024/3/20,1.699,1.75,1.765,1.686,-2.58%,11507
2024/3/21,1.683,1.699,1.713,1.651,-0.94%,7770
2024/3/22,1.659,1.684,1.712,1.647,-1.43%,4451
2024/3/25,1.615,1.664,1.675,1.589,-2.65%,8478
2024/3/26,1.575,1.608,1.647,1.481,-2.48%,337
2024/3/27,1.718,1.789,1.789,1.704,9.08%,14489
2024/3/28,1.763,1.717,1.786,1.686,2.62%,15575
2024/4/1,2.074,1.999,2.088,1.958,17.64%,6772
2024/4/2,2.105,2.075,2.115,2.018,1.49%,6668
2024/4/3,2.067,2.093,2.136,2.06,-1.81%,5665
2024/4/4,1.997,2.068,2.074,1.992,-3.39%,9395
2024/4/5,2.01,2.001,2.036,1.972,0.65%,7518
2024/4/8,2.051,1.996,2.057,1.975,2.04%,9695
2024/4/9,2.064,2.046,2.11,2.037,0.63%,10983
2024/4/10,2.074,2.085,2.118,2.054,0.48%,8643
2024/4/11,2,2.061,2.074,1.992,-3.57%,12091
2024/4/12,2.029,2.005,2.043,1.973,1.45%,9417
2024/4/15,1.691,1.772,1.792,1.678,-16.66%,17057
2024/4/16,1.732,1.695,1.802,1.649,2.42%,23156
2024/4/17,1.712,1.68,1.724,1.66,-1.15%,15235
2024/4/18,1.757,1.722,1.78,1.713,2.63%,16073
2024/4/19,1.752,1.741,1.806,1.724,-0.28%,15411
2024/4/22,1.791,1.765,1.8,1.721,2.23%,10724
2024/4/23,1.812,1.798,1.848,1.745,1.17%,7135
2024/4/24,1.653,1.836,1.84,1.634,-8.77%,5815
2024/4/25,1.638,1.644,1.675,1.583,-0.91%,7548
2024/4/26,1.614,1.622,1.628,1.482,-1.47%,493
2024/4/29,2.03,1.923,2.056,1.916,25.77%,15886
2024/4/30,1.991,2.05,2.092,1.951,-1.92%,15037
2024/5/1,1.932,1.954,1.97,1.913,-2.96%,13592
